case_id,experiment,scenario,dataset,algorithm,value_quantifier,method_variant,reference_group,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__tmc__b100__3f5521b1e8a5,g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.005123500000991044,,,,,,1202,733,733,1200,0.0,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.001450000000000001,0.001697056274847709,0.0,0.001450000000000001,0.0016970562748477088,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__antithetic_mc__b100__154334286d03,g2_public_general,public_compatibility,iris,antithetic_mc,mutual_information,default,iris_mutual_information_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.015693800000008196,,,,,,400,16,16,400,0.0,0.0,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,0.013260782917175092,0.018323828849851388,1.0,0.013260782917175092,0.018323828849851384,1.0,1.0,1.0,1.0,0,4,0,100.0,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__antithetic_mc__b100__a7b1f064b03b,g2_public_general,public_compatibility,iris,antithetic_mc,holdout_naive_bayes,default,iris_holdout_naive_bayes_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.0028681999992841156,,,,,,400,16,16,400,0.0,0.0,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,exact,0.0076266935754991895,0.007651736438183229,1.0,0.00766459584614268,0.0076894218591158124,1.0,1.0,1.0,1.0,0.0012347939791566773,2,2,100.0,100.0,1.0,,,0.04330652581927335
g2_public_general__public_compatibility__iris__low0__seed11__dtg_shapley__b100__9d99d4b2ef65,g2_public_general,public_compatibility,iris,dtg_shapley,mutual_information,default,iris_mutual_information_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.020474400000239257,uniform_mc_natural_fallback,4,0,24,0,402,16,16,400,0.0,0.0,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,0.013260782917175092,0.018323828849851388,1.0,0.013260782917175092,0.018323828849851384,1.0,1.0,1.0,1.0,0,4,0,100.0,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__dtg_shapley__b100__d1a0f6badd96,g2_public_general,public_compatibility,iris,dtg_shapley,holdout_naive_bayes,default,iris_holdout_naive_bayes_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.008416999999099062,uniform_mc_natural_fallback,2,2,24,8,446,16,16,400,0.0,-0.1100000000000001,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,exact,0.002037898466869223,0.002607369651175559,1.0,0.00203789846686922,0.0027026476971520044,1.0,1.0,1.0,1.0,0.004075796933738454,2,2,100.0,100.0,1.0,,,0.03983570500639216
g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,g2_public_general,public_compatibility,iris,exact,mutual_information,default,iris_mutual_information_unaltered,11,0,0,0,0,11,0.04,relative,0.5,0.125,0.01680119999946328,,,,,,0,16,16,,,,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,4,0,,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,g2_public_general,public_compatibility,iris,exact,holdout_naive_bayes,default,iris_holdout_naive_bayes_unaltered,11,0,0,0,0,11,0.04,relative,0.5,0.125,0.005290099999911035,,,,,,0,16,16,,,,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,exact,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,2,,,,,,0.03633513150399599
g2_public_general__public_compatibility__iris__low0__seed11__kernel_shap__b100__5b83991e77cd,g2_public_general,public_compatibility,iris,kernel_shap,holdout_naive_bayes,default,iris_holdout_naive_bayes_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.002816599999277969,,,,,,16,16,16,,,0.96,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,exact,1.2609271266006417e-16,1.443097121403747e-16,1.0,1.3877787807814457e-16,1.6184142622847344e-16,1.0,1.0,1.0,1.0,2.220446049250313e-16,2,2,,,,,,0.03633513150399593
g2_public_general__public_compatibility__iris__low0__seed11__kernel_shap__b100__fac7fff3d4ba,g2_public_general,public_compatibility,iris,kernel_shap,mutual_information,default,iris_mutual_information_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.01717569999891566,,,,,,16,16,16,,,0.96,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,1.457167719820518e-16,1.9078803932353506e-16,1.0,1.457167719820518e-16,1.9078803932353506e-16,1.0,1.0,1.0,1.0,0,4,0,,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__mc__b100__d64c82b20417,g2_public_general,public_compatibility,iris,mc,holdout_naive_bayes,default,iris_holdout_naive_bayes_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.0036056999997526873,,,,,,400,16,16,400,0.0,0.0,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__306b2220be53,exact,0.004006466875272797,0.00545894173938287,1.0,0.00030522486447934205,0.00031329113889773006,1.0,1.0,1.0,1.0,0.0006104497289587396,2,2,100.0,100.0,1.0,,,0.04434806525454161
g2_public_general__public_compatibility__iris__low0__seed11__mc__b100__e9ed4680524c,g2_public_general,public_compatibility,iris,mc,mutual_information,default,iris_mutual_information_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.016756799999711802,,,,,,400,16,16,400,0.0,0.0,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,0.01162063519290444,0.013525205004324749,0.8,0.01162063519290444,0.013525205004324749,1.0,1.0,1.0,1.0,0,4,0,100.0,,,,,
g2_public_general__public_compatibility__iris__low0__seed11__stratified__b100__07966c6820be,g2_public_general,public_compatibility,iris,stratified,mutual_information,default,iris_mutual_information_unaltered,11,0,0,100,0,11,0.04,relative,0.5,0.125,0.016823500000100466,,,,,,402,16,16,200,0.5,-0.004999999999999893,,,g2_public_general__public_compatibility__iris__low0__seed11__exact__b0__1cd8bf3a8213,exact,0.008097479760890786,0.009939893444270704,0.8,0.008097479760890786,0.009939893444270704,1.0,1.0,1.0,1.0,0,4,0,50.0,,,,,
